"Path","MB","Width","Height","Type"
"public\assets\page3\real-video\page3-real-performance.mp4","8.55",,,".mp4"
"public\assets\page3\background\page3-bg-board.png","4.05","1600","2400",".png"
"public\assets\page2\background\page2-bg-full.png","3.85","1600","2400",".png"
"public\assets\page3\background\page3-floor-base.png","3.79","1600","2400",".png"
"public\assets\markers\marker-01-craft.jpg","2.96","1122","1402",".jpg"
"public\assets\markers\marker-02-craft.jpg","2.92","1055","1491",".jpg"
"public\assets\markers\marker-page3.png","2.87","1055","1491",".png"
"public\assets\markers\targets.mind","2.61",,,".mind"
"public\assets\page3\performance\page3-perf-ironflower-green.mp4","2.59",,,".mp4"
"public\assets\page3\performance\page3-perf-dragon-green.mp4","2.55",,,".mp4"
"public\assets\page2\background\page2-bg-full-base.png","2.08","1055","1491",".png"
"public\assets\page3\performance\page3-perf-ironflower.webm","1.76",,,".webm"
"public\assets\page3\performance\page3-perf-dragon.webm","1.6",,,".webm"
"public\assets\page3\audio\page3-bgm-climax.mp3","1.39",,,".mp3"
"public\assets\page3\props\page3-drum-main.png","1.28","1600","2400",".png"
"public\assets\page2\main-visual\page2-main-01-base-disc.png","1.08","1600","2400",".png"
"public\assets\page3\stage\page3-stage-back.png","0.9","1600","2400",".png"
"public\assets\page3\stage\page3-stage-front.png","0.83","1600","2400",".png"
"public\assets\page2\main-visual\page2-main-04-sparks.png","0.82","1600","2400",".png"
"public\assets\page2\main-visual\page2-main-02-rotating-ring.png","0.72","845","866",".png"
"public\assets\page3\real-video\page3-real-poster.jpg","0.65","1167","663",".jpg"
"public\assets\page2\main-visual\page2-main-03-scene.png","0.5","1600","2400",".png"
"public\assets\page3\audio\page3-bgm-dragon-dance.mp3","0.4",,,".mp3"
"public\assets\page2\timeline\page2-timeline-base.png","0.36","1604","2400",".png"
"public\assets\page2\main-visual\page2-main-07-fire-dragon.png","0.33","1600","2400",".png"
"public\assets\page2\main-visual\page2-main-06-dragon-dancers.png","0.31","1600","2400",".png"
"public\assets\page2\main-visual\page2-main-05-ironflower-performers.png","0.26","1600","2400",".png"
"public\assets\page3\clouds\page3-cloud-front.png","0.24","1600","2400",".png"
"public\assets\page2\map\page2-map-main.png","0.22","1600","2400",".png"
"public\assets\page3\clouds\page3-cloud-back.png","0.2","1600","2400",".png"
"public\assets\page2\title\page2-title-group.png","0.19","1600","2400",".png"
"public\assets\page3\title\page3-title-fire-night.png","0.19","1600","2400",".png"
"public\assets\page2\types\page2-types-row2-mid.png","0.17","1600","2400",".png"
"public\assets\page2\intro\page2-intro-dragon-line.png.png","0.17","1600","2400",".png"
"public\assets\page3\clouds\page3-cloud-middle.png","0.17","1600","2400",".png"
"public\assets\page2\types\page2-types-row1-back.png","0.16","1600","2400",".png"
"public\assets\page3\audio\page3-bgm-ambience.mp3","0.15",,,".mp3"
"public\assets\page2\types\page2-types-row3-front.png","0.14","1600","2400",".png"
"public\assets\page2\timeline\page2-timeline-keynodes.png","0.11","1600","2400",".png"
"public\assets\page3\props\page3-dragon-pearl.png","0.1","1600","2400",".png"
"public\assets\page3\audio\page3-sfx-drum-hit.mp3","0.08",,,".mp3"
"public\assets\page2\timeline\page2-timeline-texts.png","0.06","1653","2400",".png"
"public\assets\page2\intro\page2-intro-text.png","0.05","1600","2400",".png"
"public\assets\page2\main-visual\page2-main-08-dragon-pearl.png","0.05","1600","2400",".png"
"public\assets\page2\types\page2-types-title.png","0.05","1600","2400",".png"
"public\assets\page3\audio\page3-sfx-ironflower.mp3","0.04",,,".mp3"
"public\assets\page3\stage\page3-stage-lights.png","0.04","219","220",".png"
"public\assets\page2\map\page2-map-text.png","0.04","1600","2400",".png"
"public\assets\page2\map\page2-map-tongliang.png","0.02","1600","2400",".png"
